address;agr_type;id (main_data.csv);name;source;type;url;lat;lon;photos_number;rating;reviews_number
Старо-Кузьмихинская ул., 37/15;развлечения;108;Поляна;yandex&google&2gis;Спортивно-развлекательный центр;https://yandex.ru/maps/org/polyana/1348060757/;52,250531;104,279031;246;4,5;777
Иркутск, Парковая улица;природа;109;Центральный Парк Культуры и Отдыха;yandex&google;Парк культуры и отдыха;https://yandex.ru/maps/org/tsentralny_park_kultury_i_otdykha/1105497660/;52,273728;104,29462;26;4,2;603
Иркутск, сквер имени Кирова;культура;110;Сквер имени Кирова;yandex&google&2gis;Сквер;https://yandex.ru/maps/org/skver_imeni_kirova/5134261034/;52,286737;104,281224;368;4,6;133
Иркутск, бульвар Гагарина;природа;111;Бульвар Гагарина;yandex;Парк культуры и отдыха;https://yandex.ru/maps/org/bulvar_gagarina/196838188909/;52,280929;104,273431;53;4,4;518
Иркутск, Лисихинский парк;природа;112;Лисихинский парк;yandex&google&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/lisikhinskiy_park/73684031359/;52,258021;104,330522;336;4,5;726
Иркутск, остров Юность;природа;113;Парк культуры и отдыха;yandex&google&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/park_kultury_i_otdykha/1940531884/;52,271687;104,276649;171;4,3;194
Иркутск, парк Остров Юностьпавильон 4;природа;114;Юность;yandex&google;Верёвочный парк;https://yandex.ru/maps/org/yunost/212568012114/;52,271342;104,276632;68;4,8;169
Иркутск, Спортивный переулок;природа;115;Парк имени Парижской коммуны;yandex&google&2gis;Лесопарк;https://yandex.ru/maps/org/park_imeni_parizhskoy_kommuny/68769619532/;52,28749;104,253344;576;4,2;471
Иркутск, роща Молодёжная;природа;116;Молодёжная роща;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/molodyozhnaya_roshcha/67541784364/;52,336313;104,207846;58;4,3;250
Иркутск, улица Чернышевского;природа;117;Роща Звёздочка;yandex&google&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/roshcha_zvyozdochka/12331305627/;52,272203;104,260829;1049;4,6;177
Иркутск, историко-мемориальный комплекс Иерусалимская гора;природа;118;Историко-мемориальный комплекс Иерусалимская гора;yandex;Парк культуры и отдыха;https://yandex.ru/maps/org/istoriko_memorialny_kompleks_iyerusalimskaya_gora/183698885527/;52,275932;104,298327;20;4,3;124
Иркутск, парк Инициативной молодёжи;природа;119;парк Инициативной молодёжи;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/park_initsiativnoy_molodyozhi/111123163113/;52,278991;104,257026;64;4,3;83
Иркутск, переулок Гершевича;природа;120;сквер Молодёжи;yandex&2gis;Парк культуры и отдыха;https://yandex.ru/maps/org/skver_molodyozhi/87725250139/;52,290153;104,276633;11;4,5;15
