id;exp_pht;exp_rat;exp_rev;Популярность
501;0,125698324;0,9;0,051384275;1,077082599
502;0,097765363;0,92;0,022812846;1,040578209
503;0,085661080;0,9;0,008194906;0,993855986
504;0,027001862;0,94;0,003322259;0,970324121
505;0,044692737;0,88;0,005094131;0,929786868
506;0,044692737;0,96;0,003322259;1,008014997
507;0,114525140;0,96;0,033887043;1,108412183
508;0,011173184;0,94;0,001771872;0,952945056
509;0,043761639;0,9;0,010852713;0,954614352
510;0,022346369;0,92;0,002879291;0,945225660
511;0,003724395;0,52;0,002436323;0,526160718
512;0,001862197;0,82;0,001328904;0,823191101
513;0,004655493;0,8;0,000442968;0,805098461
514;0,001862197;0,78;0,000221484;0,782083681
515;0;0,84;0,001993355;0,841993355
516;0,004655493;0,76;0,000664452;0,765319945
518;0,005586592;0,9;0,002436323;0,908022916
519;0,005586592;0,92;0,003986711;0,929573303
875;0;0;0;0
520;0,028864060;0,5;0,000664452;0,529528511
521;0,007448790;0;0;0,007448790
522;0;0;0;0
523;0,003724395;0;0;0,003724395
524;0,098696462;0,78;0,000221484;0,878917946
525;0,281191806;0,96;0,215946844;1,457138650
876;0;0;0;0
526;0,147113594;1;0,129789590;1,276903184
527;0,218808194;0,9;0,130454042;1,249262236
528;0;0;0;0
529;0,092178771;0,82;0,034108527;0,946287298
530;0,002793296;0;0;0,002793296
531;0,004655493;0;0;0,004655493
532;0,021415270;0,86;0,001107420;0,882522690
533;0;0;0;0
534;0,004655493;0,88;0,005758583;0,890414076
535;0,040968343;0,96;0,027242525;1,028210868
536;0,040037244;0,94;0,021040975;1,001078218
537;0,202979516;0,86;0,161904762;1,224884278
538;0,200186220;0,88;0,747065338;1,827251558
539;0,808193669;0,9;0,141749723;1,849943392
540;0,081005587;0,92;0,022148394;1,023153981
541;0,058659218;0,98;0,024584718;1,063243935
542;0,019553073;0,94;0,015060908;0,974613981
543;0,117318436;0,88;0,073975637;1,071294073
544;0,322160149;0,72;0,262679956;1,304840105
545;0,120111732;0,9;0,035437431;1,055549163
546;0,075418994;0,82;0,373864895;1,269283889
547;0,016759777;0,98;0,008859358;1,005619134
548;1;0,88;0,272425249;2,152425249
549;0,014897579;0;0;0,014897579
550;0,044692737;0,82;0,001328904;0,866021641
551;0,070763501;0,98;0,013953488;1,064716989
552;0,920856611;0,78;0,355481728;2,056338338
553;0,000931099;0,92;0,000885936;0,921817034
554;0,027001862;0,92;0,018161683;0,965163545
555;0,092178771;0,92;0,021262458;1,033441229
556;0;0,8;0,000221484;0,800221484
557;0,013966480;0,92;0,003543743;0,937510224
558;0,029795158;0,9;0,007973422;0,937768580
559;0,001862197;0;0;0,001862197
560;0,039106145;0,92;0,037209302;0,996315448
561;0,066108007;0,4;0,022369878;0,488477886
562;0,022346369;0,88;0,250941307;1,153287675
563;0,071694600;0,88;0,016611296;0,968305895
564;0,017690875;0,9;0,001771872;0,919462747
565;0,075418994;0,82;0,002214839;0,897633834
566;0,007448790;0;0,000221484;0,007670274
