day;id (time_data.csv);place_id;source (time_data.csv);time;value
Сб;;2256;google;30.12.1899 17:00:00;5
Сб;;2256;google;30.12.1899 18:00:00;14
Сб;;2256;google;30.12.1899 19:00:00;33
Сб;;2256;google;30.12.1899 20:00:00;57
Сб;;2256;google;30.12.1899 21:00:00;73
Сб;;2256;google;30.12.1899 22:00:00;70
Сб;;2256;google;30.12.1899 23:00:00;50
Сб;;2256;google;30.12.1899 0:00:00;26
Сб;;2256;google;30.12.1899 1:00:00;10
Вс;;682;google;30.12.1899 6:00:00;0
Вс;;682;google;30.12.1899 7:00:00;0
Вс;;682;google;30.12.1899 8:00:00;0
Вс;;682;google;30.12.1899 9:00:00;0
Вс;;682;google;30.12.1899 10:00:00;0
Вс;;682;google;30.12.1899 11:00:00;0
Вс;;682;google;30.12.1899 12:00:00;48
Вс;;682;google;30.12.1899 13:00:00;57
Вс;;682;google;30.12.1899 14:00:00;54
Вс;;682;google;30.12.1899 15:00:00;50
Вс;;682;google;30.12.1899 16:00:00;47
Вс;;682;google;30.12.1899 17:00:00;42
Вс;;682;google;30.12.1899 18:00:00;41
Вс;;682;google;30.12.1899 19:00:00;41
Вс;;682;google;30.12.1899 20:00:00;42
Вс;;682;google;30.12.1899 21:00:00;39
Вс;;682;google;30.12.1899 22:00:00;33
Вс;;682;google;30.12.1899 23:00:00;26
Пн;;682;google;30.12.1899 6:00:00;0
Пн;;682;google;30.12.1899 7:00:00;0
Пн;;682;google;30.12.1899 8:00:00;14
Пн;;682;google;30.12.1899 9:00:00;25
Пн;;682;google;30.12.1899 10:00:00;35
Пн;;682;google;30.12.1899 11:00:00;44
Пн;;682;google;30.12.1899 12:00:00;48
Пн;;682;google;30.12.1899 13:00:00;48
Пн;;682;google;30.12.1899 14:00:00;45
Пн;;682;google;30.12.1899 15:00:00;44
Пн;;682;google;30.12.1899 16:00:00;42
Пн;;682;google;30.12.1899 17:00:00;44
Пн;;682;google;30.12.1899 18:00:00;44
Пн;;682;google;30.12.1899 19:00:00;41
Пн;;682;google;30.12.1899 20:00:00;35
Пн;;682;google;30.12.1899 21:00:00;27
Пн;;682;google;30.12.1899 22:00:00;19
Пн;;682;google;30.12.1899 23:00:00;13
Вт;;682;google;30.12.1899 6:00:00;0
Вт;;682;google;30.12.1899 7:00:00;0
Вт;;682;google;30.12.1899 8:00:00;20
Вт;;682;google;30.12.1899 9:00:00;30
Вт;;682;google;30.12.1899 10:00:00;42
Вт;;682;google;30.12.1899 11:00:00;52
Вт;;682;google;30.12.1899 12:00:00;60
Вт;;682;google;30.12.1899 13:00:00;63
Вт;;682;google;30.12.1899 14:00:00;58
Вт;;682;google;30.12.1899 15:00:00;51
Вт;;682;google;30.12.1899 16:00:00;41
Вт;;682;google;30.12.1899 17:00:00;33
Вт;;682;google;30.12.1899 18:00:00;32
Вт;;682;google;30.12.1899 19:00:00;38
Вт;;682;google;30.12.1899 20:00:00;47
Вт;;682;google;30.12.1899 21:00:00;48
Вт;;682;google;30.12.1899 22:00:00;39
Вт;;682;google;30.12.1899 23:00:00;25
Ср;;682;google;30.12.1899 6:00:00;0
Ср;;682;google;30.12.1899 7:00:00;0
Ср;;682;google;30.12.1899 8:00:00;11
Ср;;682;google;30.12.1899 9:00:00;19
Ср;;682;google;30.12.1899 10:00:00;27
Ср;;682;google;30.12.1899 11:00:00;39
Ср;;682;google;30.12.1899 12:00:00;50
Ср;;682;google;30.12.1899 13:00:00;58
Ср;;682;google;30.12.1899 14:00:00;63
Ср;;682;google;30.12.1899 15:00:00;61
Ср;;682;google;30.12.1899 16:00:00;55
Ср;;682;google;30.12.1899 17:00:00;45
Ср;;682;google;30.12.1899 18:00:00;36
Ср;;682;google;30.12.1899 19:00:00;29
Ср;;682;google;30.12.1899 20:00:00;27
Ср;;682;google;30.12.1899 21:00:00;35
Ср;;682;google;30.12.1899 22:00:00;44
